FoodName,FoodGroup,ServingSize,Calories,Carbohydrates,TotalFat,Protein,Fiber,Water,VitaminA,VitaminB1,VitaminB2,VitaminC,Calcium,Sodium,Iron
Green Apple,Fruits,100,63,14.9,0.1,0.5,3,84.3,0,0.01,0.02,2,10,4,0.1
Carabao Mango,Fruits,100,70,16.4,0.2,0.6,1.7,82.4,0,0.09,0.07,46,10,4,0.6
Lakatan Banana,Fruits,100,126,29.6,0.2,1.4,3.3,68,0,0.03,0.05,25,21,2,0.8
Guyabano,Fruits,100,70,16.2,0.1,1.1,3.2,82,0,0.09,0.07,27,16,4,0.6
Red Grapes,Fruits,100,83,19.7,0.3,0.4,1,79.2,0,0.06,0.02,3,6,16,0.4
Mangosteen,Fruits,100,84,18.6,0.8,0.7,1.8,79.7,0,0.06,0.01,2,18,12,0.3
Mandarin Orange,Fruits,100,31,6.9,0.2,0.3,0.9,92.3,0,0.03,0.03,31,31,1,0.3
Pomelo,Fruits,100,51,10.6,0.6,0.7,1.1,87.8,0,0.04,0.03,46,30,2,0.7
Rambutan,Fruits,100,87,18.6,0.9,1.2,0.9,77.6,0,0.02,0.1,91,32,18,0.4
Strawberry,Fruits,100,34,7.2,0.2,0.8,1.9,91.3,0,0.03,0.03,97,34,1,1.2
Broccoli,Vegetables,100,34,6.64,0.37,2.82,2.6,89.3,0,0.07,0.12,89.2,47,33,0.73
Winged Bean,Vegetables,100,31,5.1,0.3,2,3.1,92.1,0,0.34,0.06,0,38,8,0.5
Roma Tomato,Vegetables,100,25,5.2,0.1,0.8,0.3,93.4,0,0.05,0.03,3,6,11,0.4
Red Bell Pepper,Vegetables,100,36,7.8,0.3,0.5,2.5,90.9,0,0.05,0.06,18,29,4,0.5
Okra,Vegetables,100,34,5.9,0.3,1.8,3.6,91.3,0,0.06,0.07,1,51,11,0.4
Eggplant,Vegetables,100,29,5.5,0.2,1.2,1.6,92.7,0,0.1,0.05,3,11,3,0.3
Cucumber,Vegetables,100,16,3.2,0.1,0.5,0.7,95.9,0,0.02,0.02,2,12,13,0.1
Cauliflower,Vegetables,100,32,5.2,0.3,2.1,2.1,91.7,0,0.05,0.12,82,41,14,0.8
Carrot,Vegetables,100,42,8.6,0.3,1.1,2.6,89.1,0,0.03,0.03,0,25,26,0.2
Bitter Gourd,Vegetables,100,23,4.2,0.2,1,1.3,93.9,0,0.05,0.04,2,22,15,0.4
White Rice,Grains,100,129,29.7,0.2,2.1,0.4,67.6,0,0.02,0.02,0,11,3,0.6
Brown Rice,Grains,100,363,76.3,2.8,8.1,3,11.6,0,0.04,0,4,6,9,1.8
Sweet Corn,Grains,100,173,35.4,1.5,4.4,3.5,57.9,0,0.22,0.13,11,8,3,0.8
White Bread,Grains,100,329,61.1,5.1,9.7,3.3,23.2,0,0.2,0.16,0,77,592,3.9
Rolled Oats,Grains,100,423,73.8,9.1,11.4,10.9,4.2,0,0.45,0.14,0,373,6,3.6
Chicken Eggs,Meat and Poultry,100,139,1.4,9.4,12.3,0,76,201,0.07,0.39,0,32,1.3,128
Chicken Thigh,Meat and Poultry,100,149,0,7.7,19.8,0,72.3,15,0.12,0.17,4,15,88,0.9
Chicken Wings,Meat and Poultry,100,194,0,13.2,18.9,0,67.3,25,0.04,0.09,4,61,81,1.2
Chicken Breast,Meat and Poultry,100,131,0,5,21.6,0,73.1,30,0.06,0.06,0,24,66,1
Chicken Drumstick,Meat and Poultry,100,204,0,15.1,17.1,0,67.7,15,0.1,0.15,4,12,127,1
Beef Ground,Meat and Poultry,100,322,0,30,14.4,0,54.3,4,0.04,0.15,0,24,66,1.64
Pork Belly,Meat and Poultry,100,393,0,37.2,14.5,0,47.5,50,0.4,0.13,1,15,40,1
Pork Chop,Meat and Poultry,100,390,0,36.9,14.5,0,47.8,5,0.56,0.11,1,15,39,0.8
Blue Crab,Seafood,100,98,3.1,0.9,19.4,0,74.6,1,0.05,0.24,0,281,494,2
Milkfish,Seafood,100,80,0,1.1,17.6,0,79.7,250,0.03,0.08,0,23,49,1
Squid,Seafood,100,71,0,1,15.6,0,82.2,210,0,0.04,0,55,143,1.2
Tilapia,Seafood,100,107,0,3.8,18.1,0,77.2,65,0.06,0.2,0,74,52,0.8
Beef Kaldereta,Cooked Dishes,100,250,5.2,17,22,1,60,25,0.2,0.3,30,20,750,3.5
Beef Kare-Kare,Cooked Dishes,100,220,3.8,15,20,2,65,15,0.2,0.4,20,30,600,3
Beef Ribs Sinigang,Cooked Dishes,100,180,2.5,12,18,1,70,10,0.2,0.3,25,20,600,2.5
Bulalo,Cooked Dishes,100,250,4,16,20,0,65,10,0.2,0.4,15,15,700,3
Chicken Adobo,Cooked Dishes,100,180,1,12,20,0,65,5,0.1,0.2,10,10,600,2
Chicken Afritada,Cooked Dishes,100,200,2.5,14,18,1,70,10,0.2,0.3,15,15,650,2.5
Chicken Inasal,Cooked Dishes,100,190,1.5,10,22,0,65,8,0.2,0.2,8,10,600,2
Chicken Tinola,Cooked Dishes,100,150,1.8,8,20,1,75,10,0.1,0.2,12,12,550,1.8
Crispy Pata,Cooked Dishes,100,350,0,30,18,0,50,0,0,0,0,0,800,4
Pork Barbeque,Cooked Dishes,100,280,10,20,18,0,50,4,0.2,0.3,6,8,650,3
Pancit Canton,Cooked Dishes,100,220,25,10,15,2,60,2,0.1,0.2,8,10,550,2.5
Pork Menudo,Cooked Dishes,100,200,4,12,16,2,65,6,0.2,0.3,10,15,600,2.5
Shrimp Sinigang,Cooked Dishes,100,120,2,8,18,1,75,20,0.2,0.3,20,25,700,2
